County,Date,Statute,Page
Cook County SWSS Contract Signed,"June 30, 2026",§ 20-2-140.1,12
Cook County SWSS Contract Signed,"June 30, 2026",§ 20-2-142,13
Cook County SWSS Contract Signed,"June 30, 2026",§ 20-2-151,13
Cook County SWSS Contract Signed,"June 30, 2026",§ 20-2-154,13
Cook County SWSS Contract Signed,"June 30, 2026",§ 20-2-154.1,13
Cook County SWSS Contract Signed,"June 30, 2026",§ 20-2-187(b),13
Cook County SWSS Contract Signed,"June 30, 2026",§ 20-2-283,13
Cook County SWSS Contract Signed,"June 30, 2026",§ 20-2-284,13
Cook County SWSS Contract Signed,"June 30, 2026",§ 20-2-690.2,14
Cook County SWSS Contract Signed,"June 30, 2026",160-4-2-.12,14
Cook County SWSS Contract Signed,"June 30, 2026",160-4-2-.48,14
Cook County SWSS Contract Signed,"June 30, 2026",160-4-2-.05,14
Cook County SWSS Contract Signed,"June 30, 2026",§ 20-2-151,15
Cook County SWSS Contract Signed,"June 30, 2026",§ 20-2-160(a),15
Cook County SWSS Contract Signed,"June 30, 2026",§ 20-2-168(c),15
Cook County SWSS Contract Signed,"June 30, 2026",§ 20-2-182,16
Cook County SWSS Contract Signed,"June 30, 2026",§ 20-2-200,16
Cook County SWSS Contract Signed,"June 30, 2026",§ 20-2-204,16
Cook County SWSS Contract Signed,"June 30, 2026",§ 20-2-211,16
Cook County SWSS Contract Signed,"June 30, 2026",§ 20-2-940their4,17
Cook County SWSS Contract Signed,"June 30, 2026",§ 20-2-941their4,17
Cook County SWSS Contract Signed,"June 30, 2026",§ 20-2-942their4,17
Cook County SWSS Contract Signed,"June 30, 2026",§ 20-2-943their4,17
Cook County SWSS Contract Signed,"June 30, 2026",§ 20-2-944their4,18
Cook County SWSS Contract Signed,"June 30, 2026",§ 20-2-945their4,18
Cook County SWSS Contract Signed,"June 30, 2026",§ 20-2-946their4,18
Cook County SWSS Contract Signed,"June 30, 2026",§ 20-2-947their4,18
Cook County SWSS Contract Signed,"June 30, 2026",§ 20-2-948their4,18
Cook County SWSS Contract Signed,"June 30, 2026",§ 20-2-182,19
Cook County SWSS Contract Signed,"June 30, 2026",§ 20-2-200,19
Cook County SWSS Contract Signed,"June 30, 2026",§ 20-2-201,19
Cook County SWSS Contract Signed,"June 30, 2026",§ 20-2-204,19
Cook County SWSS Contract Signed,"June 30, 2026",§ 20-2-151,20
Cook County SWSS Contract Signed,"June 30, 2026",§ 20-2-160,20
Cook County SWSS Contract Signed,"June 30, 2026",§ 20-2-161,20
Cook County SWSS Contract Signed,"June 30, 2026",§ 20-2-167,20
Cook County SWSS Contract Signed,"June 30, 2026",§ 20-2-171,20
Cook County SWSS Contract Signed,"June 30, 2026",§ 20-2-183,20
Cook County SWSS Contract Signed,"June 30, 2026",§ 20-2-184,21
Cook County SWSS Contract Signed,"June 30, 2026",§ 20-2-185,21
Cook County SWSS Contract Signed,"June 30, 2026",§ 20-2-186,21
Cook County SWSS Contract Signed,"June 30, 2026",§ 20-2-260,21
Cook County SWSS Contract Signed,"June 30, 2026",§ 20-2-411,21
Dodge County SWSS Contract Signed,"June 30, 2026",§ 20-2-140.1,13
Dodge County SWSS Contract Signed,"June 30, 2026",§ 20-2-142,13
Dodge County SWSS Contract Signed,"June 30, 2026",§ 20-2-151,13
Dodge County SWSS Contract Signed,"June 30, 2026",§ 20-2-151.2,13
Dodge County SWSS Contract Signed,"June 30, 2026",§ 20-2-154,14
Dodge County SWSS Contract Signed,"June 30, 2026",§ 20-2-154.1,14
Dodge County SWSS Contract Signed,"June 30, 2026",§ 20-2-155,14
Dodge County SWSS Contract Signed,"June 30, 2026",§ 20-2-156,15
Dodge County SWSS Contract Signed,"June 30, 2026",§ 20-2-187(b),15
Dodge County SWSS Contract Signed,"June 30, 2026",§ 20-2-283,15
Dodge County SWSS Contract Signed,"June 30, 2026",§ 20-2-284,15
Dodge County SWSS Contract Signed,"June 30, 2026",§ 20-2-290,16
Dodge County SWSS Contract Signed,"June 30, 2026",§ 20-2-690.2,16
Dodge County SWSS Contract Signed,"June 30, 2026",160-4-2-.12,16
Dodge County SWSS Contract Signed,"June 30, 2026",160-4-2-.13(2)(a),16
Dodge County SWSS Contract Signed,"June 30, 2026",160-4-2-.13(2)(c),16
Dodge County SWSS Contract Signed,"June 30, 2026",160-4-2-.38,17
Dodge County SWSS Contract Signed,"June 30, 2026",160-4-2-.48,17
Dodge County SWSS Contract Signed,"June 30, 2026",160-5-1-.15,17
Dodge County SWSS Contract Signed,"June 30, 2026",160-4-2-.05,17
Dodge County SWSS Contract Signed,"June 30, 2026",§ 20-2-182,18
Dodge County SWSS Contract Signed,"June 30, 2026",§ 20-2-212,19
Dodge County SWSS Contract Signed,"June 30, 2026",§ 20-2-217,19
Dodge County SWSS Contract Signed,"June 30, 2026",§ 20-2-86,19
Dodge County SWSS Contract Signed,"June 30, 2026",§ 20-2-151,19
Dodge County SWSS Contract Signed,"June 30, 2026",§ 20-2-160(a),19
Dodge County SWSS Contract Signed,"June 30, 2026",§ 20-2-167,19
Dodge County SWSS Contract Signed,"June 30, 2026",§ 20-2-168(c),20
Dodge County SWSS Contract Signed,"June 30, 2026",§ 20-2-182(h),20
Dodge County SWSS Contract Signed,"June 30, 2026",§ 20-2-184.1,20
Dodge County SWSS Contract Signed,"June 30, 2026",§ 20-2-200,20
Dodge County SWSS Contract Signed,"June 30, 2026",§ 20-2-218,20
Dodge County SWSS Contract Signed,"June 30, 2026",§ 20-2-940,20
Dodge County SWSS Contract Signed,"June 30, 2026",160-4-4-.01,21
Dodge County SWSS Contract Signed,"June 30, 2026",160-4-8-.05,21
Dodge County SWSS Contract Signed,"June 30, 2026",160-5-1-.22,21
Dodge County SWSS Contract Signed,"June 30, 2026",§ 20-2-108,21
Dodge County SWSS Contract Signed,"June 30, 2026",§ 20-2-201,21
Dodge County SWSS Contract Signed,"June 30, 2026",§ 20-2-182,22
Dodge County SWSS Contract Signed,"June 30, 2026",§ 20-2-200,22
Dodge County SWSS Contract Signed,"June 30, 2026",§ 20-2-218,22
Dodge County SWSS Contract Signed,"June 30, 2026",§ 20-2-108,22
Dodge County SWSS Contract Signed,"June 30, 2026",§ 20-2-160,23
Dodge County SWSS Contract Signed,"June 30, 2026",§ 20-2-161,23
Dodge County SWSS Contract Signed,"June 30, 2026",§ 20-2-167,23
Dodge County SWSS Contract Signed,"June 30, 2026",§ 20-2-171,24
Dodge County SWSS Contract Signed,"June 30, 2026",§ 20-2-183,24
Dodge County SWSS Contract Signed,"June 30, 2026",§ 20-2-186,24
Greene County SWSS Contract Signed,"June 30, 2026",§ 20-2-154,13
Greene County SWSS Contract Signed,"June 30, 2026",§ 20-2-151,13
Greene County SWSS Contract Signed,"June 30, 2026",§ 20-2-154.1,13
Greene County SWSS Contract Signed,"June 30, 2026",§ 20-2-155,13
Greene County SWSS Contract Signed,"June 30, 2026",160-4-2-.38,14
Greene County SWSS Contract Signed,"June 30, 2026",§ 20-2-140.1,14
Greene County SWSS Contract Signed,"June 30, 2026",§ 20-2-142,14
Greene County SWSS Contract Signed,"June 30, 2026",§ 20-2-283,14
Greene County SWSS Contract Signed,"June 30, 2026",§ 20-2-284,15
Greene County SWSS Contract Signed,"June 30, 2026",160-4-2-.48,15
Greene County SWSS Contract Signed,"June 30, 2026",160-4-2-.12,15
Greene County SWSS Contract Signed,"June 30, 2026",160-5-1-.15,15
Greene County SWSS Contract Signed,"June 30, 2026",160-4-2-.13(2)(a)toadjusttheminimumpassingscorewhiemaintainingateasta10,16
Greene County SWSS Contract Signed,"June 30, 2026",160-4-2-.13(2)(e),16
Greene County SWSS Contract Signed,"June 30, 2026",160-4-2-.13(2)(a),16
Greene County SWSS Contract Signed,"June 30, 2026",160-4-2-.13(2)(c),16
Greene County SWSS Contract Signed,"June 30, 2026",§ 20-2-85,16
Greene County SWSS Contract Signed,"June 30, 2026",§ 20-2-86,16
Greene County SWSS Contract Signed,"June 30, 2026",§ 20-2-108,17
Greene County SWSS Contract Signed,"June 30, 2026",§ 20-2-200,17
Greene County SWSS Contract Signed,"June 30, 2026",§ 20-2-204,17
Greene County SWSS Contract Signed,"June 30, 2026",§ 20-2-184.1,18
Greene County SWSS Contract Signed,"June 30, 2026",§ 20-2-168(c),18
Greene County SWSS Contract Signed,"June 30, 2026",§ 20-2-151,18
Greene County SWSS Contract Signed,"June 30, 2026",§ 20-2-160(a),18
Greene County SWSS Contract Signed,"June 30, 2026",§ 20-2-167,18
Greene County SWSS Contract Signed,"June 30, 2026",§ 20-2-182,18
Greene County SWSS Contract Signed,"June 30, 2026",§ 20-2-212,18
Greene County SWSS Contract Signed,"June 30, 2026",§ 20-2-211,19
Greene County SWSS Contract Signed,"June 30, 2026",§ 20-2-942,19
Greene County SWSS Contract Signed,"June 30, 2026",§ 20-2-86,19
Greene County SWSS Contract Signed,"June 30, 2026",§ 20-2-940,19
Greene County SWSS Contract Signed,"June 30, 2026",160-5-1-.22,19
Greene County SWSS Contract Signed,"June 30, 2026",§ 20-2-182(h),19
Greene County SWSS Contract Signed,"June 30, 2026",§ 20-2-151,20
Greene County SWSS Contract Signed,"June 30, 2026",§ 20-2-160,20
Greene County SWSS Contract Signed,"June 30, 2026",§ 20-2-160,21
Greene County SWSS Contract Signed,"June 30, 2026",§ 20-2-161,21
Greene County SWSS Contract Signed,"June 30, 2026",§ 20-2-167,21
Greene County SWSS Contract Signed,"June 30, 2026",§ 20-2-171,21
Greene County SWSS Contract Signed,"June 30, 2026",§ 20-2-183,22
Greene County SWSS Contract Signed,"June 30, 2026",§ 20-2-184,22
Greene County SWSS Contract Signed,"June 30, 2026",§ 20-2-185,22
Greene County SWSS Contract Signed,"June 30, 2026",§ 20-2-186,22
Greene County SWSS Contract Signed,"June 30, 2026",§ 20-2-260,23
Greene County SWSS Contract Signed,"June 30, 2026",§ 20-2-411,23
Crawford County SWSS Contract Signed,"June 30, 2026",§ 20-2-140.1,13
Crawford County SWSS Contract Signed,"June 30, 2026",§ 20-2-142,13
Crawford County SWSS Contract Signed,"June 30, 2026",§ 20-2-151,13
Crawford County SWSS Contract Signed,"June 30, 2026",§ 20-2-154.1,13
Crawford County SWSS Contract Signed,"June 30, 2026",§ 20-2-283,13
Crawford County SWSS Contract Signed,"June 30, 2026",§ 20-2-690.2,13
Crawford County SWSS Contract Signed,"June 30, 2026",§ 20-2-85,13
Crawford County SWSS Contract Signed,"June 30, 2026",§ 20-2-86,13
Crawford County SWSS Contract Signed,"June 30, 2026",160-4-2-.12,13
Crawford County SWSS Contract Signed,"June 30, 2026",160-4-2-.48,13
Crawford County SWSS Contract Signed,"June 30, 2026",160-5-1-.15,14
Crawford County SWSS Contract Signed,"June 30, 2026",§ 20-2-160(a),14
Crawford County SWSS Contract Signed,"June 30, 2026",§ 20-2-168(c),14
Crawford County SWSS Contract Signed,"June 30, 2026",§ 20-2-182,14
Crawford County SWSS Contract Signed,"June 30, 2026",§ 20-2-184.1,15
Crawford County SWSS Contract Signed,"June 30, 2026",§ 20-2-86,15
Crawford County SWSS Contract Signed,"June 30, 2026",160-4-4-.01,15
Crawford County SWSS Contract Signed,"June 30, 2026",§ 20-2-182,15
Crawford County SWSS Contract Signed,"June 30, 2026",§ 20-2-200,15
Crawford County SWSS Contract Signed,"June 30, 2026",§ 20-2-160,16
Crawford County SWSS Contract Signed,"June 30, 2026",§ 20-2-171,16
Crawford County SWSS Contract Signed,"June 30, 2026",§ 20-2-185,17
Crawford County SWSS Contract Signed,"June 30, 2026",§ 20-2-186,17
Social Circle City SWSS Contract Signed,"June 30, 2026",§ 20-2-151,12
Social Circle City SWSS Contract Signed,"June 30, 2026",§ 20-2-154,13
Social Circle City SWSS Contract Signed,"June 30, 2026",§ 20-2-154.1,13
Social Circle City SWSS Contract Signed,"June 30, 2026",§ 20-2-155,13
Social Circle City SWSS Contract Signed,"June 30, 2026",§ 20-2-156,13
Social Circle City SWSS Contract Signed,"June 30, 2026",§ 20-2-151,14
Social Circle City SWSS Contract Signed,"June 30, 2026",§ 20-2-290,14
Social Circle City SWSS Contract Signed,"June 30, 2026",160-4-2-.05,14
Social Circle City SWSS Contract Signed,"June 30, 2026",§ 20-2-140.14,14
Social Circle City SWSS Contract Signed,"June 30, 2026",§ 20-2-142,14
Social Circle City SWSS Contract Signed,"June 30, 2026",§ 20-2-284,14
Social Circle City SWSS Contract Signed,"June 30, 2026",160-4-2-.48,14
Social Circle City SWSS Contract Signed,"June 30, 2026",§ 20-2-690.2,15
Social Circle City SWSS Contract Signed,"June 30, 2026",160-5-1-.15,15
Social Circle City SWSS Contract Signed,"June 30, 2026",160-4-2-.13(2)(a),15
Social Circle City SWSS Contract Signed,"June 30, 2026",160-4-2-.13(2)(c),15
Social Circle City SWSS Contract Signed,"June 30, 2026",§ 20-2-187(b),15
Social Circle City SWSS Contract Signed,"June 30, 2026",§ 20-2-182,16
Social Circle City SWSS Contract Signed,"June 30, 2026",§ 20-2-218,16
Social Circle City SWSS Contract Signed,"June 30, 2026",§ 20-2-212,16
Social Circle City SWSS Contract Signed,"June 30, 2026",§ 20-2-108,16
Social Circle City SWSS Contract Signed,"June 30, 2026",§ 20-2-200,16
Social Circle City SWSS Contract Signed,"June 30, 2026",§ 20-2-201,16
Social Circle City SWSS Contract Signed,"June 30, 2026",§ 20-2-204,16
Social Circle City SWSS Contract Signed,"June 30, 2026",§ 20-2-160(a),17
Social Circle City SWSS Contract Signed,"June 30, 2026",§ 20-2-168(c),17
Social Circle City SWSS Contract Signed,"June 30, 2026",160-4-8-.05,17
Social Circle City SWSS Contract Signed,"June 30, 2026",160-4-4-.01,17
Social Circle City SWSS Contract Signed,"June 30, 2026",§ 20-2-940,17
Social Circle City SWSS Contract Signed,"June 30, 2026",§ 20-2-943,18
Social Circle City SWSS Contract Signed,"June 30, 2026",§ 20-2-944,18
Social Circle City SWSS Contract Signed,"June 30, 2026",§ 20-2-946,18
Social Circle City SWSS Contract Signed,"June 30, 2026",§ 20-2-947,18
Social Circle City SWSS Contract Signed,"June 30, 2026",§ 20-2-948,18
Social Circle City SWSS Contract Signed,"June 30, 2026",§ 20-2-86,18
Social Circle City SWSS Contract Signed,"June 30, 2026",§ 20-2-167,18
Social Circle City SWSS Contract Signed,"June 30, 2026",§ 20-2-182(h),18
Social Circle City SWSS Contract Signed,"June 30, 2026",§ 20-2-217,18
Social Circle City SWSS Contract Signed,"June 30, 2026",§ 20-2-204,18
Social Circle City SWSS Contract Signed,"June 30, 2026",§ 20-2-108,18
Social Circle City SWSS Contract Signed,"June 30, 2026",§ 20-2-216,19
Social Circle City SWSS Contract Signed,"June 30, 2026",§ 20-2-182,19
Social Circle City SWSS Contract Signed,"June 30, 2026",§ 20-2-218,19
Social Circle City SWSS Contract Signed,"June 30, 2026",§ 20-2-108,19
Social Circle City SWSS Contract Signed,"June 30, 2026",§ 20-2-200,20
Social Circle City SWSS Contract Signed,"June 30, 2026",§ 20-2-201,20
Social Circle City SWSS Contract Signed,"June 30, 2026",§ 20-2-204,20
Social Circle City SWSS Contract Signed,"June 30, 2026",§ 20-2-108,21
Social Circle City SWSS Contract Signed,"June 30, 2026",§ 20-2-171,21
Social Circle City SWSS Contract Signed,"June 30, 2026",§ 20-2-160,22
Social Circle City SWSS Contract Signed,"June 30, 2026",§ 20-2-161,22
Social Circle City SWSS Contract Signed,"June 30, 2026",§ 20-2-184,22
Social Circle City SWSS Contract Signed,"June 30, 2026",§ 20-2-260,22
Social Circle City SWSS Contract Signed,"June 30, 2026",§ 20-2-411,22
Social Circle City SWSS Contract Signed,"June 30, 2026",§ 20-2-151,22
Rabun County SWSS Contract Signed,"June 30, 2026",§ 20-2-140.1,13
Rabun County SWSS Contract Signed,"June 30, 2026",§ 20-2-142,13
Rabun County SWSS Contract Signed,"June 30, 2026",§ 20-2-151,13
Rabun County SWSS Contract Signed,"June 30, 2026",§ 20-2-154,13
Rabun County SWSS Contract Signed,"June 30, 2026",§ 20-2-154.1,14
Rabun County SWSS Contract Signed,"June 30, 2026",§ 20-2-156,14
Rabun County SWSS Contract Signed,"June 30, 2026",§ 20-2-187(b),14
Rabun County SWSS Contract Signed,"June 30, 2026",§ 20-2-283,14
Rabun County SWSS Contract Signed,"June 30, 2026",§ 20-2-284,15
Rabun County SWSS Contract Signed,"June 30, 2026",§ 20-2-690.2,15
Rabun County SWSS Contract Signed,"June 30, 2026",§ 20-2-86,15
Rabun County SWSS Contract Signed,"June 30, 2026",160-4-2-.12,15
Rabun County SWSS Contract Signed,"June 30, 2026",160-4-2-.13(2)(a),15
Rabun County SWSS Contract Signed,"June 30, 2026",160-4-2-.13(2)(c),16
Rabun County SWSS Contract Signed,"June 30, 2026",160-4-2-.48minimumof25,16
Rabun County SWSS Contract Signed,"June 30, 2026",160-5-1-.15,16
Rabun County SWSS Contract Signed,"June 30, 2026",§ 20-2-200,17
Rabun County SWSS Contract Signed,"June 30, 2026",§ 20-2-151,17
Rabun County SWSS Contract Signed,"June 30, 2026",§ 20-2-160(a),18
Rabun County SWSS Contract Signed,"June 30, 2026",§ 20-2-168(c),18
Rabun County SWSS Contract Signed,"June 30, 2026",§ 20-2-86,18
Rabun County SWSS Contract Signed,"June 30, 2026",§ 20-2-167,18
Rabun County SWSS Contract Signed,"June 30, 2026",§ 20-2-182(h),18
Rabun County SWSS Contract Signed,"June 30, 2026",§ 20-2-217,19
Rabun County SWSS Contract Signed,"June 30, 2026",§ 20-2-182,19
Rabun County SWSS Contract Signed,"June 30, 2026",§ 20-2-211,19
Rabun County SWSS Contract Signed,"June 30, 2026",§ 20-2-212,19
Rabun County SWSS Contract Signed,"June 30, 2026",§ 20-2-218,19
Rabun County SWSS Contract Signed,"June 30, 2026",160-4-4-.01,20
Rabun County SWSS Contract Signed,"June 30, 2026",§ 20-2-200,20
Rabun County SWSS Contract Signed,"June 30, 2026",§ 20-2-171,21
